classifier,gene,n_folds_present,mean_importance_abs,ci95_low,ci95_high,mean_importance_signed,is_pam50
RF,ENTPD2,50,0.0033473854379804436,0.003287957272733433,0.0034090452921300054,-1.1890622565915303e-18,False
RF,ENTPD3,50,0.0038620831892705464,0.003827651493576284,0.0038962860564912376,-9.261992101668258e-19,False
RF,ENTPD5,50,0.004261305284819325,0.004206737221666093,0.004316247791050795,-6.569619604197798e-19,False
RF,ENTPD8,50,0.0036755757056643012,0.003628360599569567,0.003717723178796318,-1.4679290267045126e-18,False
RF,ENTREP1,50,0.004457787341251426,0.0044011585363451814,0.004513753636344569,1.1188896912011276e-18,False
RF,EOMES,50,0.0031204933551314904,0.0030641741811811584,0.003176354250231209,-4.191832018855003e-20,False
RF,EPAS1,37,0.003603852272938875,0.00354451712318867,0.003666420443751097,-1.2354071728208544e-18,False
RF,EPB41L2,50,0.00307465723488925,0.003004066691846883,0.0031411966506850486,-6.822059927668377e-19,False
RF,EPB41L3,50,0.003821771592826048,0.0037795864607065134,0.003864439736910128,-1.1148717976361476e-18,False
RF,EPB41L4A,50,0.0040047031438157485,0.00395769088482785,0.004053909396646043,-1.9641594541875216e-18,False
RF,EPB41L4B,50,0.003588038602550631,0.0035340700523811474,0.0036469259768156506,-8.291928411007626e-19,False
RF,EPCAM,2,0.0043973634899572255,0.004323394786349423,0.004471332193565029,-1.5356039245561492e-18,False
RF,EPDR1,50,0.003878788662733597,0.003835515589772063,0.003917298772389058,-1.741713738668385e-18,False
RF,EPHA10,49,0.004118482058481426,0.004077161366809461,0.004162357119717084,-1.9063288927819995e-18,False
RF,EPHA3,50,0.003673888618470279,0.003622749498777232,0.003724254891555987,-1.9934591418399007e-18,False
RF,EPHA4,50,0.0029300089919593,0.002877049555849412,0.002984450457724983,1.6403923672298932e-19,False
RF,EPHB3,50,0.004149726466707615,0.004098662394070388,0.004200012952216725,1.0275811187600846e-18,False
RF,EPHB6,50,0.004230844020868891,0.004179828900434157,0.0042820748415664635,1.0279957991533724e-18,False
RF,EPHX1,17,0.003747235677260934,0.0036724511174066987,0.0038248466515222604,-1.950782819783054e-18,False
RF,EPHX2,50,0.004092668534306613,0.004031481201359017,0.004151044244903449,2.2642242833849356e-19,False
RF,EPHX4,50,0.00347481704206197,0.003423078472325776,0.0035265361998986274,-2.0257064736838396e-19,False
RF,EPIST,25,0.0034845540380531257,0.0033999786691847607,0.0035749017651869113,-6.544816922067166e-19,False
RF,EPN3,50,0.00472509780951898,0.004657098115432955,0.004790673121033136,-2.9314152910756283e-18,False
RF,EPOP,50,0.0037933467340232462,0.0037574571995728384,0.0038283447354085123,-6.317812028966424e-19,False
RF,EPPK1,50,0.00392393302145214,0.003886387733971045,0.003962861087893186,-3.013127918203411e-18,False
RF,EPS8,9,0.004477789215687663,0.004409012327500704,0.0045576001697461965,-2.8358309239600952e-18,False
RF,EPS8L1,50,0.004427886034375586,0.004379599350262126,0.004471728458103221,-2.1294957795131772e-18,False
RF,EPSTI1,50,0.004184001666565282,0.0041261218251896666,0.004241947484753043,-2.3837537950419834e-18,False
RF,EPYC,50,0.004058969371173863,0.003984275148315163,0.004130107726710072,-2.661484236250416e-18,False
RF,ERAP2,50,0.0020015392798251293,0.0019633259243114613,0.002038367321409921,-8.6753356286903e-19,False
RF,ERBB2,50,0.004749678137440045,0.0046909781721617165,0.004810579979169001,-3.007187609636464e-18,True
RF,ERBB3,47,0.0041337039799388174,0.004092194568980877,0.0041758400039935955,-2.1227370088574996e-18,False
RF,ERBB4,50,0.0037876364207885082,0.00375363291918464,0.003823593201201239,-1.7193724407378056e-18,False
RF,ERCC6L,50,0.00499889589590701,0.004943422305973131,0.005054718811427169,-2.3075291172799095e-18,False
RF,ERGIC1,18,0.005038740329634929,0.004962610491371726,0.005109209264663906,-3.546143277710437e-18,False
RF,ERI2,2,0.004324469968170586,0.00419814202914913,0.004450797907192042,-2.754266312313942e-18,False
RF,ERICH2,50,0.0031782111897549407,0.0031333539492858146,0.0032240554925350023,-1.1467956020138643e-18,False
RF,ERLIN2,50,0.004177367918313573,0.004136253313883603,0.004219469309141036,-2.1186337375995316e-18,False
RF,ERMP1,50,0.0038070236477717513,0.0037655072040310763,0.003845508765301508,-2.4282213868113367e-18,False
RF,ERO1B,50,0.0034247477894156675,0.003387466396887017,0.003462673371542696,-1.110305213397746e-18,False
RF,ERP27,50,0.0031254626807075757,0.0030786721245145672,0.0031698739321117985,3.6241911060542986e-20,False
RF,ERRFI1,50,0.0038362359865005084,0.0037840820259694495,0.0038879330569333618,8.059597484606102e-19,False
